ranking_risco,id_municipio,nome_municipio,sigla_uf,nome_regiao,taxa_alfabetizacao,meta_alfabetizacao_2024,atingiu_meta,probabilidade_prevista_atingir_meta,gap_ate_meta_pp
1,2900900,Almadina,BA,Nordeste,23.91,38.22,0,0.0558,14.31
2,2927408,Salvador,BA,Nordeste,36.85,45.52,0,0.0613,8.67
3,2906303,Canavieiras,BA,Nordeste,28.68,36.12,0,0.0628,7.44
4,2932903,Valença,BA,Nordeste,31.89,38.08,0,0.0642,6.19
5,2900355,Adustina,BA,Nordeste,42.45,50.37,0,0.0646,7.92
6,2901700,Antônio Cardoso,BA,Nordeste,25.76,40.74,0,0.0678,14.98
7,2924405,Pilão Arcado,BA,Nordeste,22.51,31.12,0,0.0682,8.61
8,2913606,Ilhéus,BA,Nordeste,26.63,39.22,0,0.069,12.59
9,2914000,Ipirá,BA,Nordeste,34.46,37.07,0,0.0696,2.61
10,2910800,Feira de Santana,BA,Nordeste,33.19,38.95,0,0.0696,5.76
11,2933208,Vera Cruz,BA,Nordeste,38.27,45.5,0,0.0696,7.23
12,2910602,Esplanada,BA,Nordeste,23.96,26.95,0,0.0712,2.99
13,2900702,Alagoinhas,BA,Nordeste,36.64,40.44,0,0.0732,3.8
14,2902302,Aratuípe,BA,Nordeste,60.0,53.15,1,0.0735,-6.85
15,2931202,Taperoá,BA,Nordeste,47.52,45.23,1,0.0742,-2.29
16,2925907,Quijingue,BA,Nordeste,34.85,44.9,0,0.0764,10.05
17,2902104,Araci,BA,Nordeste,24.47,27.37,0,0.0779,2.9
18,2923506,Palmeiras,BA,Nordeste,40.45,49.55,0,0.078,9.1
19,2909802,Cruz das Almas,BA,Nordeste,33.56,41.43,0,0.0782,7.87
20,2901353,Andorinha,BA,Nordeste,28.44,39.88,0,0.0783,11.44
21,2933604,Xique-Xique,BA,Nordeste,32.25,38.06,0,0.0788,5.81
22,2928059,Santa Luzia,BA,Nordeste,28.42,40.34,0,0.0794,11.92
23,2902708,Barra,BA,Nordeste,28.48,34.04,0,0.0814,5.56
24,2913705,Inhambupe,BA,Nordeste,30.13,36.61,0,0.0817,6.48
25,2931103,Tanquinho,BA,Nordeste,30.67,25.95,1,0.0818,-4.72
26,2903201,Barreiras,BA,Nordeste,36.09,44.47,0,0.0821,8.38
27,2924009,Paulo Afonso,BA,Nordeste,30.51,32.01,0,0.0822,1.5
28,2918001,Jequié,BA,Nordeste,39.48,44.37,0,0.0823,4.89
29,2927705,Santa Cruz Cabrália,BA,Nordeste,37.36,46.67,0,0.0826,9.31
30,2925501,Prado,BA,Nordeste,32.74,41.65,0,0.0827,8.91
31,2930105,Senhor do Bonfim,BA,Nordeste,24.02,27.01,0,0.0829,2.99
32,2930501,Serrinha,BA,Nordeste,19.92,32.42,0,0.083,12.5
33,4319737,São Valério do Sul,RS,Sul,46.2,72.78,0,0.0832,26.58
34,2918100,Jeremoabo,BA,Nordeste,29.53,34.24,0,0.0832,4.71
35,2919108,Lamarão,BA,Nordeste,19.57,29.42,0,0.0837,9.85
